category;name;rus;eng
char_name;diona;Диона;Diona
talent_name;diona_katzlein_style;Стиль котёнка;Kätzlein Style
talent_descr;diona_katzlein_style;<p>name{Обычная атака:}<br>До пяти выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается холодом. Полностью заряженная холодом стрела наносит cryo{Крио урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, biting frost will accumulate on the arrowhead. A fully charged frost arrow will deal cryo{Cryo DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing name{AoE DMG} upon impact.</p>
feature_skill;diona_icy_paw_dmg;Урон от когтей;Icy Paw DMG
feature_skill;diona_base_shield_dmg_absorption;Базовое поглощение щита;Base Shield DMG Absorption
talent_name;diona_icy_paws;Морозные коготочки;Icy Paws
talent_descr;diona_icy_paws;<p>Выпускает Морозные коготочки, которые наносят противнику cryo{Крио урон} и создают элементальный щит при ударе.<br>Поглощение урона щитом зависит от name{макс. HP} name{Дионы}, а длительность его существования - от количества попавших в цель Морозных коготочков.</p><p>name{Быстрое нажатие:}<br>Моментально выпускает два Морозных коготочка.</p><p>name{Долгое нажатие:}<br>Отпрыгивая назад, выпускает пять Морозных коготочков.<br>Щит, образованный заряженным навыком, даёт 75% бонус поглощения урона.</p><p>Щит поглощает cryo{Крио урон} с эффективностью 250%. Кроме того, при активации щит накладывает на персонажа кратковременный cryo{эффект Крио}.</p><p><i>Обычно никакое количество льда в напитке здоровью не вредит, но тот лёд, что создаёт Диона с помощью Глаза Бога, заставляет мозг покрываться льдом. 10 из 10!</i></p>;<p>Fires an Icy Paw that deals cryo{Cryo DMG} to opponents and forms a shield on hit.<br>The shield's name{DMG Absorption} scales based on name{Diona}'s name{Max HP}, and its duration scales off the number of Icy Paws that hit their target.</p><p>name{Press}<br>Rapidly fires off 2 Icy Paws.</p><p>name{Hold}<br>Dashes back quickly before firing 5 Icy Paws.<br>The shield created by a Hold attack will gain a 75% name{DMG Absorption} Bonus.</p><p>The shield has a 250% cryo{Cryo DMG} Absorption Bonus, and will cause your active character to become affected by cryo{Cryo} at the point of formation for a short duration.</p><p><i>When she first started bartending, name{Diona} found that no matter how much ice she put in her cocktails, it would never do a drunkard any harm. That all changed when she received her Vision — now she can form ice cold enough to cause severe brainfreeze. Five out of five stars!</i></p>
talent_name;diona_signature_mix;Авторский коктейль;Signature Mix
talent_descr;diona_signature_mix;"<p>Бросает приготовленный по особому рецепту ледяной коктейль, который наносит cryo{Крио урон по площади} и создаёт область Прохладительной дымки.</p><p>name{Прохладительная дымка:}<br>· Наносит cryo{Крио урон} врагам, находящимся в области;<br>· Периодически восстанавливает name{HP} персонажам, находящимся в области.</p><p><i>Чудовищная смесь, которую даже Диона считает бесчеловечной. Ужас неизбежности лучше оставить врагам. К сожалению, резкое послевкусие этого напитка им придётся прочувствовать только своим носом и кожей.</i></p>";<p>Tosses out a special cold brew that deals cryo{AoE Cryo DMG} and creates a Drunken Mist in an AoE.</p><p>name{Drunken Mist}<br>·Deals continuous cryo{Cryo DMG} to opponents within the AoE.<br>·Continuously regenerates the name{HP} of characters within the AoE.</p><p><i>A horrific mix that even name{Diona} considers inhumane. The horrifying foretaste should be left for one's opponents. It has a crisp aftertaste, but unfortunately, one can only feel it on one's nose and skin.</i></p>
talent_name;diona_cats_tail_secret_menu;Секретное меню;Cat's Tail Secret Menu
talent_descr;diona_cats_tail_secret_menu;<p>Щит навыка skill{skill:Морозные коготочки} увеличивает name{скорость передвижения} персонажа на %{move_speed} и уменьшает его потребление выносливости на %{stamina_consume}.</p>;<p>Characters shielded by skill{skill:Icy Paws} have their name{Movement SPD} increased by %{move_speed} and their Stamina Consumption decreased by %{stamina_consume}.</p>
talent_name;diona_drunkards_farce;Пьяный балаган;Drunkards' Farce
