category;name;rus;eng
char_name;aloy;Элой;Aloy
talent_name;aloy_prophecies_of_dawn;Пророчества рассвета;Prophecies of Dawn
talent_descr;aloy_prophecies_of_dawn;<p>Элой бросает в цель Топливный элемент, наполненный элементом Крио, затем детонирует его стрелой, нанося cryo{Крио урон по площади}.</p><p><i>Означал ли «Новый рассвет» надежду или вымирание - больше не имеет значения. Элой уже спасла свой мир, а у этого мира есть свои герои.</i></p>;"<p>Aloy throws a Power Cell filled with Cryo in the targeted direction, then detonates it with an arrow, dealing cryo{AoE Cryo DMG}.</p><p><i>Whether ""Zero Dawn"" referred to hope or extinction no longer matters. Aloy has already saved her world, and the fate of this one is still being forged by its own heroes.</i></p>"
talent_name;aloy_rapid_fire;Скоростная стрельба;Rapid Fire
talent_descr;aloy_rapid_fire;<p>name{Обычная атака:}<br>До четырёх выстрелов из лука.<br>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается холодом. Полностью заряженная холодом стрела наносит cryo{Крио урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, biting frost will accumulate on the arrowhead. A fully charged frost arrow will deal cryo{Cryo DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing AoE DMG upon impact.</p>
talent_name;aloy_frozen_wilds;Ледяная пустошь;Frozen Wilds
talent_descr;aloy_frozen_wilds;<p>Элой бросает в цель Морозильную бомбу, которая взрывается при столкновении и наносит cryo{Крио урон}. После взрыва Морозильная бомба делится на множество Ледяных бомбочек, которые взрываются при контакте с противником или после небольшой задержки и наносят cryo{Крио урон}.<br>Когда Морозильная бомба или Ледяная бомбочка поражают противника, его сила атаки понижается и Элой получает один уровень Спирали.<br>Элой может получить до 1 уровня Спирали каждые 0,1 сек.</p><p>name{Спирали}<br>· Каждый уровень Спирали повышает урон обычной атаки Элой.<br>· Когда Элой набирает 4 уровня Спирали, все уровни Спирали сбрасываются, а она входит в состояние Стремительного льда, которое повышает урон её обычной атаки и конвертирует его в cryo{Крио урон}.</p><p>Находясь в состоянии Стремительного льда, Элой не может накапливать уровни Спирали.<br>Эффекты Спирали сбросятся через 30 сек. после того, как Элой покинет бой.</p><p><i>Разве это холодно? Значит, вы никогда не были в Зарубке.</i></p>;<p>Aloy throws a Freeze Bomb in the targeted direction that explodes on impact, dealing cryo{Cryo DMG}. After it explodes, the Freeze Bomb will split up into many Chillwater Bomblets that explode on contact with opponents or after a short delay, dealing cryo{Cryo DMG}.<br>When a Freeze Bomb or Chillwater Bomblet hits an opponent, the opponent's ATK is decreased and Aloy receives 1 Coil stack.<br>Aloy can gain up to 1 Coil stack every 0.1s.</p><p>name{Coil}<br>·Each stack increases Aloy's Normal Attack DMG.<br>·When Aloy has 4 Coil stacks, all stacks of Coil are cleared. She then enters the Rushing Ice state, which further increases the DMG dealt by her Normal Attacks and converts her Normal Attack DMG to cryo{Cryo DMG}.</p><p>While in the Rushing Ice state, Aloy cannot obtain new Coil stacks.<br>Coil effects will be cleared 30s after Aloy leaves combat.</p><p><i>You think that's cold? Guess you've never been to The Cut.</i></p>
talent_name;aloy_combat_override;Боевой перехват;Combat Override
talent_descr;aloy_combat_override;Когда name{Элой} получает эффект name{Спирали} навыка skill{skill:Ледяная пустошь}, её name{сила атаки} повышается на %{text_percent_1}, а name{сила атаки} других окружающих членов отряда повышается на %{text_percent_2}. Этот эффект длится 10 сек.;When name{Aloy} receives the name{Coil} effect from skill{skill:Frozen Wilds}, her name{ATK} is increased by %{text_percent_1}, while nearby party members' name{ATK} is increased by %{text_percent_2}. This effect lasts 10s.
talent_name;aloy_strong_strike;Сильная атака;Strong Strike
talent_descr;aloy_strong_strike;Когда name{Элой} находится в состоянии name{Стремительного льда} навыка skill{skill:Ледяная пустошь}, её бонус cryo{Крио урона} увеличивается на %{dmg_cryo} каждую секунду. Подобным способом можно получить до %{text_percent} бонуса cryo{Крио урона}.;When name{Aloy} is in the name{Rushing Ice} state conferred by skill{skill:Frozen Wilds}, her cryo{Cryo DMG Bonus} increases by %{dmg_cryo} every 1s. A maximum cryo{Cryo DMG Bonus} increase of %{text_percent} can be gained in this way.
talent_name;aloy_star_of_another_world;Чужеземная звезда;Star of Another World
talent_descr;aloy_star_of_another_world;Момент осветить звёздное небо этого человека ещё не настал.;The time has not yet come for this person's corner of the night sky to light up.
