category;name;rus;eng
char_name;xingqiu;Син Цю;Xingqiu
talent_name;xingqiu_guhua_style;Стиль Гухуа;Guhua Style
talent_descr;xingqiu_guhua_style;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех противников на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;xingqiu_damage_reduction_ratio;Отношение понижения урона;Damage Reduction Ratio
talent_name;xingqiu_fatal_rainscreen;Гухуа: Завеса дождя;Guhua Sword: Fatal Rainscreen
talent_descr;xingqiu_fatal_rainscreen;"<p>name{Син Цю} выполняет два удара мечом, которые наносят hydro{Гидро урон}. В то же время, активация навыка создаёт максимальное количество name{Мечей дождя}, которые вращаются вокруг вашего персонажа.<br>Мечи дождя имеют следующие свойства:<br>· Понижают получаемый персонажем урон, но каждая полученная атака уничтожает один меч;<br>· Повышают устойчивость к прерыванию атак;<br>· 20% hydro{бонуса Гидро урона} name{Син Цю} конвертируются в количество поглощаемого урона.</p><p>Таким способом макс. количество поглощаемого урона может быть увеличено до 24%.<br>Начальное макс. количество name{Мечей дождя} равно трём.<br>Активация этого навыка накладывает на персонажа статус hydro{Мокрый}.</p><p><i>«Легче убить дракона, чем сражаться с дождём».</i></p>";"<p>name{Xingqiu} performs twin strikes with his sword, dealing hydro{Hydro DMG}. At the same time, this ability creates the maximum number of name{Rain Swords}, which will orbit your active character.<br>The name{Rain Swords} have the following properties:<br>·When a character takes DMG, the name{Rain Sword} will shatter, reducing the amount of DMG taken.<br>·Increases the character's resistance to interruption.</p><p>20% of name{Xingqiu}'s hydro{Hydro DMG Bonus} will be converted to additional DMG Reduction for the name{Rain Swords}.</p><p>The maximum amount of additional DMG Reduction that can be gained this way is 24%.<br>The initial maximum number of name{Rain Swords} is 3.<br>Using this ability applies the hydro{Wet} status onto the character.</p><p><i>""Easier to slay a rain dragon than to sever the rain.""</i></p>"
feature_burst;xingqiu_sword_rain_dmg;Урон Меча дождя;Sword Rain DMG
talent_name;xingqiu_raincutter;Гухуа: Радужная стойка;Guhua Sword: Raincutter
talent_descr;xingqiu_raincutter;"<p>Активирует Радужную стойку и позволяет сражаться с помощью макс. количества name{Мечей дождя}.</p><p>name{Радужная стойка:}<br>·name{Обычные атаки} вашего персонажа дополняются атаками name{Мечей дождя}, которые наносят hydro{Гидро урон};<br>· Количество name{Мечей дождя} остаётся постоянным на всё время действия навыка.</p><p><i>«Радужная стойка» - одна из древнейших тайных техник школы Гухуа.</i></p>";"<p>Initiate Rainbow Bladework and fight using an illusory name{sword rain}, while creating the maximum number of name{Rain Swords}.</p><p>name{Rainbow Bladework}<br>·Your active character's name{Normal Attacks} will trigger consecutive name{sword rain} attacks, dealing hydro{Hydro DMG}.<br>·name{Rain Swords} will remain at the maximum number throughout the ability's duration.</p><p><i>The ""Way of the Rain Cutter"" is one of the esoteric secret techniques of the Guhua Sect.</i></p>"
talent_name;xingqiu_hydropathic;Секрет текущей воды;Hydropathic
talent_descr;xingqiu_hydropathic;<p>При уничтожении или окончании действия name{Мечей дождя}, восстанавливает name{HP} активного персонажа на value{6%} от name{макс. HP} name{Син Цю}.</p>;<p>When a name{Rain Sword} is shattered or when its duration expires, it regenerates the current character's name{HP} based on value{6%} of name{Xingqiu}'s name{Max HP}.</p>
talent_name;xingqiu_blades_amidst_raindrops;Красивый почерк;Blades Amidst Raindrops
talent_descr;xingqiu_blades_amidst_raindrops;<p>Даёт name{Син Цю} %{dmg_hydro} бонус hydro{Гидро урона}.</p>;<p>name{Xingqiu} gains a %{dmg_hydro} hydro{Hydro DMG Bonus}.</p>
talent_name;xingqiu_the_scent_remained;Запах дождя по утрам;The Scent Remained
talent_descr;xingqiu_the_scent_remained;<p>Увеличивает макс. количество name{Мечей дождя} на 1.</p>;<p>Increases the maximum number of name{Rain Swords} by 1.</p>
talent_name;xingqiu_rainbow_upon_the_azure_sky;Радужное небо;Rainbow Upon the Azure Sky
talent_descr;xingqiu_rainbow_upon_the_azure_sky_1;<p>Увеличивает длительность навыка skill{burst:Гухуа: Радужная стойка} на 3 сек.</p>;<p>Extends the duration of skill{burst:Guhua Sword: Raincutter} by 3s.</p>
