category;name;rus;eng
char_name;thoma;Тома;Thoma
talent_name;thoma_swiftshatter_spear;Быстробойное копьё;Swiftshatter Spear
talent_descr;thoma_swiftshatter_spear;<p>name{Обычная атака:}<br>До четырёх ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;thoma_blazing_blessing;Пылающий покров;Blazing Blessing
talent_descr;thoma_blazing_blessing;<p>Опираясь на воткнутое в землю копьё, Тома стремительно бьёт ногами перед собой и направляет силу пламени, нанося pyro{Пиро урон по площади}. Также Тома призывает name{Пылающий щит}, который накладывает на него pyro{эффект Пиро}.<br>Поглощение урона щитом зависит от name{макс. HP} name{Томы}.<br>name{Пылающий щит} обладает следующими свойствами:<br>· pyro{Пиро урон} поглощается с эффективностью 250%.<br>·Если во время действия одного name{Пылающего щита} получен другой name{Пылающий щит}, то оставшееся поглощение урона старого щита добавится новому щиту, время действия щита обновится.</p><p>Макс. поглощение урона щита не может превышать определённую часть от name{макс. HP} name{Томы}.</p><p><i>Чужеземец может овладеть простым и элегантным инадзумским искусством владения копьём, лишь если в нём ярко пылает огонь почтения. Главное достижение name{Томы} не в том, что освоил это искусство быстрее других и стал настоящим мастером. Важнее, что, веря в важность роли «хранителя», он добавил в это искусство приёмы для сдерживания врага и использование брони.</i></p>;"<p>name{Thoma} vaults forward with his polearm and delivers a flame-filled flying kick that deals pyro{AoE Pyro DMG}, while also summoning a defensive Blazing Barrier. At the moment of casting, name{Thoma}'s name{Elemental Skill} applies pyro{Pyro} to himself.<br>The DMG Absorption of the Blazing Barrier scales off name{Thoma}'s name{Max HP}.<br>The Blazing Barrier has the following traits:<br>·Absorbs pyro{Pyro DMG} 250% more effectively.<br>·When a new Blazing Barrier is obtained, the remaining DMG Absorption of an existing Blazing Barrier will stack and its duration will be refreshed.</p><p>The maximum DMG Absorption of the Blazing Barrier will not exceed a certain percentage of name{Thoma}'s name{Max HP}.</p><p><i>As a guest from afar, only the most burning passion would allow one to master the pure and precise spear arts of Inazuma. name{Thoma}'s mastery, indeed, is not limited to being the ""swiftest-studying student"" or ""a master of the spear,"" but he has imbued his will to protect others and fend off foes into his art as well.</i></p>"
feature_burst;thoma_fiery_collapse_dmg;Урон Огненного разрыва;Fiery Collapse DMG
feature_burst;thoma_burst_duration;Длительность Оёроя огня;Scorching Ooyoroi Duration
talent_name;thoma_crimson_ooyoroi;Багровый оёрой;Crimson Ooyoroi
talent_descr;thoma_crimson_ooyoroi;<p>Тома вращает копьём, обдавая врагов потоками жаркого пламени, которые наносят pyro{Пиро урон по площади} и создают Оёрой огня.</p><p>name{Оёрой огня}<br>name{Обычные атаки} активного персонажа под действием Оёроя огня активируют Огненный разрыв, который наносит pyro{Пиро урон по площади}, и призывают name{Пылающий щит}.<br>Огненный разрыв может возникнуть только раз в секунду.</p><p>Созданный щит идентичен Пылающему покрову, созданному name{элементальным навыком} name{Томы}, во всём, кроме поглощения урона.<br>· pyro{Пиро урон} поглощается с эффективностью 250%.<br>· Если во время действия одного name{Пылающего щита} получен другой name{Пылающий щит}, то оставшееся поглощение урона старого щита добавится новому щиту, время действия щита обновится.</p><p>Макс. поглощение урона щита не может превышать определённую часть от name{макс. HP} name{Томы}.</p><p>Если Тома погибает, то эффект Оёроя огня пропадает.</p><p><i>«Я никогда не забуду данное мной обещание. Пусть это пламя укроет дорогих мне людей, пусть оно вовек не погаснет».</i></p>;"<p>name{Thoma} spins his polearm, slicing at his foes with roaring flames that deal pyro{AoE Pyro DMG} and weave themselves into a Scorching Ooyoroi.</p><p>name{Scorching Ooyoroi}<br>While Scorching Ooyoroi is in effect, the active character's name{Normal Attacks} will trigger name{Fiery Collapse}, dealing pyro{AoE Pyro DMG} and summoning a Blazing Barrier.<br>name{Fiery Collapse} can be triggered once every 1s.</p><p>Except for the amount of DMG they can absorb, the Blazing Barriers created in this way are identical to those created by name{Thoma}'s name{Elemental Skill}, Blazing Blessing:<br>·Absorbs pyro{Pyro DMG} 250% more effectively.<br>·When a new Blazing Barrier is obtained, the remaining DMG Absorption of an existing Blazing Barrier will stack and its duration will be refreshed.</p><p>The maximum DMG Absorption of the Blazing Barrier will not exceed a certain percentage of name{Thoma}'s name{Max HP}.</p><p>If name{Thoma} falls, the effects of Scorching Ooyoroi will be cleared.</p><p><i>""I will not forget my initial promise. Let this burning flame protect those I cherish, and may it never be extinguished.""</i></p>"
talent_name;thoma_imbricated_armor;Перекрывающая броня;Imbricated Armor
