category;name;rus;eng
char_name;venti;Венти;Venti
talent_name;venti_winds_grand_ode;Великая ода ветру;Wind's Grand Ode
talent_descr;venti_winds_grand_ode;<p>Выпустив стрелу из тысячи ветров, призывает огромный глаз бури, который притягивает к себе врагов, нанося им постоянный anemo{Анемо урон}.</p><p>name{Поглощение стихии:}<br>При контакте с элементами hydro{Гидро}, pyro{Пиро}, cryo{Крио} или electro{Электро} глаз бури наносит дополнительный урон этим элементом.<br>За каждое использование навык может поглотить только один элемент.</p><p><i>Многие оды Анемо Архонту канули в лету. Эта ода воспевает господство Архонта над ветром.</i></p>;<p>Fires off an arrow made of countless coalesced winds, creating a huge Stormeye that sucks in opponents and deals continuous anemo{Anemo DMG}.</p><p>name{Elemental Absorption}<br>If the Stormeye comes into contact with hydro{Hydro}/pyro{Pyro}/cryo{Cryo}/electro{Electro}, it will deal additional elemental DMG of that type.<br>Elemental Absorption may only occur once per use.</p><p><i>Many hymns written in praise of the Anemo Archon have been lost to time. This one sings of his mastery over the wind.</i></p>
talent_name;venti_divine_marksmanship;Божественная точность;Divine Marksmanship
talent_descr;venti_divine_marksmanship;<p>name{Обычная атака:}<br>До шести выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается божественным ветром. Полностью заряженная ветром стрела наносит anemo{Анемо урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 6 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, favorable winds will accumulate on the arrowhead. A fully charged wind arrow will deal anemo{Anemo DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing AoE DMG upon impact.</p>
talent_name;venti_skyward_sonnet;Небесная поэзия;Skyward Sonnet
talent_descr;venti_skyward_sonnet;<p>О, ветер, о котором поют гимны и слагают песни, неси этих странников к небесам!</p><p>name{Быстрое нажатие:}<br>Создаёт зону ветра, которая наносит anemo{Анемо урон по площади} и подкидывает врагов в воздух.</p><p>name{Долгое нажатие:}<br>Вызывает ещё большую силу ветра с Венти в её центре. Она наносит anemo{Анемо урон по площади} и подкидывает попавших в её зону действия врагов.<br>Эта версия навыка поднимает Венти в воздух.</p><p>Враги, подкинутые навыком Небесная поэзия, медленно опускаются на землю.</p><p><i>Некогда люди и боги существовали вместе во времени и пространстве, и по небу доносилось бесчисленное количество песен, воспевающих это. Те мелодии были забыты тысячелетия назад.</i></p>;<p>O wind upon which all hymns and songs fly, bear these earth-walkers up into the sky!</p><p>name{Press}<br>Summons a Wind Domain at the opponent's location, dealing anemo{AoE Anemo DMG} and launching opponents into the air.</p><p>name{Hold}<br>Summons an even larger Wind Domain with Venti as the epicenter, dealing anemo{AoE Anemo DMG} and launching affected opponents into the air.<br>After unleashing the Hold version of this ability, Venti rides the wind into the air.</p><p>Opponents hit by Skyward Sonnet will fall to the ground slowly.</p><p><i>In the days when gods and men walked the earth together, the heavens were filled with countless songs. This melody has long since been forgotten.</i></p>
talent_name;venti_embrace_of_winds;Объятья ветра;Embrace of Winds
talent_descr;venti_embrace_of_winds;Долгое нажатие навыка skill{skill:Небесная поэзия} создаёт поток ветра, который длится 20 сек.;Holding skill{skill:Skyward Sonnet} creates an upcurrent that lasts for 20s.
talent_name;venti_stormeye;Глаз бури;Stormeye
